Player,height_in,weight_lb
Ticky Burden,74,185.0
Pat Burke,83,250.0
Trey Burke,72,185.0
Roger Burkman,77,175.0
Alec Burks,77,214.0
Antonio Burks,73,200.0
Kevin Burleson,75,205.0
Tom Burleson,86,225.0
Jack Burmaster,75,190.0
David Burns,74,180.0
Evers Burns,80,260.0
Jim Burns,75,195.0
Scott Burrell,79,218.0
Art Burris,77,220.0
Junior Burrough,80,242.0
Bob Burrow,79,228.0
Deonte Burton,76,240.0
Ed Burton,78,225.0
Tyler Burton,79,215.0
Willie Burton,80,210.0
Steve Burtt,74,185.0
Don Buse,76,190.0
David Bustion,80,215.0
Donnie Butcher,74,200.0
Al Butler,74,175.0
Caron Butler,79,228.0
Greg Butler,83,240.0
Jackie Butler,82,250.0
Jared Butler,75,193.0
Jimmy Butler,78,230.0
John Butler,84,190.0
Mike Butler,74,170.0
Mitchell Butler,77,210.0
Rasual Butler,79,215.0
Dwight Buycks,75,190.0
Matas Buzelis,80,209.0
Derrick Byars,79,220.0
Andrew Bynum,84,285.0
Will Bynum,72,185.0
Walt Byrd,79,205.0
Marty Byrnes,79,215.0
Tommy Byrnes,75,175.0
Michael Bytzura,73,170.0
Žarko Čabarkapa,83,235.0
Barney Cable,79,175.0
Bruno Caboclo,81,218.0
Devontae Cacok,79,240.0
Jason Caffey,80,255.0
Michael Cage,81,224.0
Jamal Cain,79,191.0
Gerry Calabrese,73,175.0
Nick Calathes,78,213.0
José Calderón,75,200.0
Adrian Caldwell,80,265.0
Jim Caldwell,82,240.0
Joe Caldwell,77,195.0
Kentavious Caldwell-Pope,77,204.0
Bill Calhoun,75,180.0
Corky Calhoun,79,210.0
Demetrius Calip,73,165.0
Tom Callahan,73,180.0
Rick Calloway,78,180.0
Ernie Calverley,70,145.0
Mack Calvin,72,165.0
Toumani Camara,79,230.0
Dexter Cambridge,79,224.0
Marcus Camby,83,220.0
Facundo Campazzo,70,195.0
Elden Campbell,83,215.0
Tony Campbell,79,215.0
Isaiah Canaan,72,200.0
Vlatko Čančar,80,236.0
Devin Cannady,74,183.0
Larry Cannon,76,195.0
Clint Capela,82,256.0
Derrick Caracter,81,275.0
Frank Card,79,195.0
Brian Cardinal,80,245.0
Dylan Cardwell,82,255.0
Vernon Carey Jr.,82,270.0
Howie Carl,69,160.0
Chet Carlisle,77,195.0
Geno Carlisle,75,180.0
Rick Carlisle,77,210.0
Don Carlos,77,210.0
Al Carlson,83,235.0
Branden Carlson,84,220.0
Don Carlson,72,170.0
Bob Carney,75,170.0
Rodney Carney,79,205.0
Bob Carpenter,77,200.0
Antoine Carr,81,225.0
Austin Carr,76,200.0
Chris Carr,77,207.0
Cory Carr,75,210.0
Kenny Carr,79,220.0
M.L. Carr,78,205.0
Darel Carrier,75,185.0
Bob Carrington,78,195.0
Bub Carrington,76,190.0
DeMarre Carroll,78,215.0
Joe Barry Carroll,84,225.0
Matt Carroll,78,212.0
Jimmy Carruth,82,265.0
Anthony Carter,73,190.0
Butch Carter,77,180.0
Devin Carter,74,195.0
Fred Carter,75,185.0
George Carter,76,210.0
Howard Carter,77,215.0
Jake Carter,76,195.0
Jevon Carter,72,200.0
Maurice Carter,77,210.0
Reggie Carter,75,175.0
Ron Carter,77,190.0
Vince Carter,78,220.0
Wendell Carter Jr.,82,270.0
Michael Carter-Williams,78,205.0
D.J. Carton,74,200.0
Bill Cartwright,85,245.0
Jay Carty,80,220.0
Alex Caruso,77,186.0
Cornelius Cash,80,215.0
Sam Cash,80,230.0
Sam Cassell,75,185.0
Omri Casspi,81,225.0
Stephon Castle,78,215.0
Colin Castleton,82,250.0
Harvey Catchings,81,218.0
Terry Catledge,80,220.0
Sid Catlett,78,230.0
Kelvin Cato,83,255.0
Bobby Cattage,81,250.0
Willie Cauley-Stein,84,240.0
Troy Caupain,76,210.0
Duane Causwell,84,240.0
Tyler Cavanaugh,81,238.0
Ron Cavenall,85,230.0
Ahmad Caver,74,174.0
Malcolm Cazalon,78,185.0
Cedric Ceballos,79,220.0
John Celestand,76,178.0
Al Cervi,71,170.0
Lionel Chalmers,72,180.0
Mario Chalmers,74,190.0
Bill Chamberlain,78,188.0
Wilt Chamberlain,85,275.0
Jerry Chambers,77,185.0
Tom Chambers,82,220.0
Julian Champagnie,79,217.0
Justin Champagnie,78,206.0
Mike Champion,82,230.0
Kennedy Chandler,72,170.0
Tyson Chandler,84,235.0
Wilson Chandler,80,235.0
Don Chaney,77,210.0
John Chaney,75,185.0
Rex Chapman,76,185.0
Wayne Chapman,78,190.0
Len Chappell,80,240.0
Ken Charles,75,180.0
Lorenzo Charles,79,225.0
Joe Chealey,76,190.0
Calbert Cheaney,79,209.0
Zylan Cheatham,77,220.0
Maurice Cheeks,73,180.0
Phil Chenier,75,180.0
Will Cherry,72,185.0
Derrick Chievous,79,195.0
Pete Chilcutt,82,230.0
Josh Childress,80,210.0
Randolph Childress,74,188.0
Chris Childs,75,195.0
Chris Chiozza,71,179.0
Leroy Chollet,74,190.0
Ulrich Chomche,83,235.0
Jim Chones,83,220.0
Marquese Chriss,81,240.0
Fred Christ,76,210.0
Cal Christensen,77,210.0
Bob Christian,82,255.0
Cam Christie,77,190.0
Doug Christie,78,200.0
Max Christie,77,190.0
Dionte Christmas,77,205.0
Rakeem Christmas,81,250.0
Semaj Christon,75,190.0
Josh Christopher,76,215.0
Patrick Christopher,77,209.0
Steve Chubin,74,200.0
Robert Churchwell,78,195.0
Moussa Cisse,83,220.0
Sidy Cissoko,78,220.0
Archie Clark,74,175.0
Carlos Clark,76,210.0
