Age,G,GS,MP,FG,FGA,FG%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3P,3PA,3P%,2P,2PA,2P%,eFG%,career_ft_pct,prev_ft_pct,career_seasons,target,height_in,weight_lb,ast_to_tov,pts_per_fga,threep_rate,reb_per_min,stocks_per_min,scoring_load,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG
23.0,73.0,60.0,24.9,3.5,8.1,0.427,0.8,2.9,3.8,1.3,0.8,0.5,1.0,3.2,10.1,1.6,4.3,0.366,1.9,3.8,0.496,0.525,0.818181818181818,0.808,2,1,77,215.0,1.3,1.2469135802469136,0.5308641975308642,0.15261044176706828,0.052208835341365466,0.3253012048192771,False,False,False,True,False
24.0,72.0,47.0,27.7,4.4,8.8,0.496,0.9,2.9,3.8,1.5,0.9,0.7,0.9,3.3,12.2,1.9,4.6,0.419,2.4,4.2,0.581,0.606,0.8333333333333333,0.838,3,1,77,215.0,1.6666666666666665,1.3863636363636362,0.5227272727272726,0.1371841155234657,0.05776173285198556,0.3176895306859206,False,False,False,True,False
25.0,45.0,37.0,24.9,4.3,8.4,0.507,0.8,3.1,4.0,1.2,0.8,0.4,0.8,2.5,12.0,1.9,4.3,0.431,2.4,4.1,0.587,0.617,0.8163265306122447,0.781,4,1,77,215.0,1.4999999999999998,1.4285714285714286,0.5119047619047619,0.1606425702811245,0.04819277108433736,0.3373493975903615,False,False,False,True,False
23.0,50.0,35.0,24.2,3.1,6.7,0.463,1.0,2.5,3.6,1.4,0.6,0.2,1.1,1.9,8.3,0.8,2.8,0.304,2.3,4.0,0.573,0.525,0.0,0.0,0,0,77,190.0,1.2727272727272725,1.2388059701492538,0.417910447761194,0.1487603305785124,0.03305785123966942,0.2768595041322314,False,False,False,False,True
24.0,70.0,14.0,18.5,2.7,5.2,0.512,1.0,2.0,3.0,1.1,0.6,0.2,0.8,1.6,6.8,0.7,1.7,0.393,2.0,3.4,0.573,0.579,0.7058823529411764,0.729,1,1,77,190.0,1.375,1.3076923076923077,0.3269230769230769,0.16216216216216217,0.043243243243243246,0.2810810810810811,False,False,False,False,True
26.0,76.0,26.0,22.9,4.7,9.6,0.488,1.1,2.8,3.9,1.8,0.8,0.2,0.9,1.3,12.0,1.7,4.5,0.383,3.0,5.1,0.578,0.577,0.7500000000000001,0.789,3,1,77,190.0,2.0,1.25,0.46875,0.1703056768558952,0.04366812227074236,0.41921397379912667,False,False,False,False,True
25.0,33.0,1.0,17.1,2.6,4.5,0.574,1.9,2.5,4.3,0.5,0.5,0.9,1.0,2.2,6.2,0.0,0.0,0.0,2.6,4.5,0.578,0.574,0.5,0.667,2,0,81,220.0,0.5,1.3777777777777778,0.0,0.25146198830409355,0.08187134502923975,0.2631578947368421,True,False,False,False,False
26.0,65.0,9.0,11.6,1.8,3.4,0.523,0.7,1.5,2.3,0.2,0.3,0.6,0.8,1.8,4.6,0.0,0.0,0.0,1.8,3.4,0.525,0.523,0.6,0.673,3,1,81,220.0,0.25,1.352941176470588,0.0,0.1982758620689655,0.07758620689655171,0.29310344827586204,False,True,False,False,False
27.0,40.0,2.0,11.5,1.3,3.1,0.423,1.4,1.9,3.2,0.6,0.4,0.6,0.8,1.9,4.0,0.0,0.0,0.0,1.3,3.1,0.426,0.423,0.6578947368421052,0.776,4,0,81,220.0,0.7499999999999999,1.2903225806451613,0.0,0.2782608695652174,0.08695652173913043,0.26956521739130435,False,True,False,False,False
28.0,81.0,0.0,19.1,2.9,5.6,0.522,2.0,3.1,5.0,0.7,0.5,1.1,1.0,2.9,7.6,0.0,0.0,0.0,2.9,5.5,0.526,0.522,0.6842105263157896,0.73,5,0,81,220.0,0.7,1.3571428571428572,0.0,0.2617801047120419,0.08376963350785341,0.2931937172774869,False,True,False,False,False
